tcin,name,category,set_code,enabled,priority,est_msrp,max_price,sold_by_target,notes,url
1003612683,"Pokemon TCG: Scarlet & Violet Paldea Evolved Pokemon Center ETB - 11 Packs",elite_trainer_box,sv02,false,5,59.99,69.99,unlikely,older_set,https://www.target.com/p/-/A-1003612683
91619922,"Pokemon TCG: Scarlet & Violet Surging Sparks Elite Trainer Box",elite_trainer_box,sv08,false,5,49.99,59.99,yes,,https://www.target.com/p/-/A-91619922
1001539734,"Pokemon TCG: Scarlet & Violet Surging Sparks Pokemon Center ETB",elite_trainer_box,sv08,false,5,59.99,69.99,yes,,https://www.target.com/p/-/A-1001539734
1009001200,"Pokemon TCG: Crown Zenith Pokemon Center Elite Trainer Box Plus",elite_trainer_box,swsh12.5,false,5,69.99,79.99,unlikely,retired_set,https://www.target.com/p/-/A-1009001200
91619912,"Pokemon TCG: Scarlet & Violet Stellar Crown Elite Trainer Box",elite_trainer_box,sv07,false,5,49.99,59.99,yes,,https://www.target.com/p/-/A-91619912
91600215,"Pokemon TCG: Scarlet & Violet Shrouded Fable Elite Trainer Box",elite_trainer_box,sv6.5,false,5,49.99,59.99,unlikely,older_set,https://www.target.com/p/-/A-91600215
93870657,"Pokemon TCG: Shrouded Fable Elite Trainer Box (2-Pack)",elite_trainer_box,sv6.5,false,5,99.99,119.99,unlikely,2pack_likely_3p,https://www.target.com/p/-/A-93870657
91255505,"Pokemon TCG: Scarlet & Violet Temporal Forces ETB - Walking Wake",elite_trainer_box,sv05,false,5,49.99,59.99,unlikely,older_set,https://www.target.com/p/-/A-91255505
91255507,"Pokemon TCG: Scarlet & Violet Temporal Forces ETB - Iron Leaves",elite_trainer_box,sv05,false,5,49.99,59.99,unlikely,older_set,https://www.target.com/p/-/A-91255507
91619960,"Pokemon TCG: Scarlet & Violet Twilight Masquerade Elite Trainer Box",elite_trainer_box,sv06,false,5,49.99,59.99,unlikely,older_set,https://www.target.com/p/-/A-91619960
89603261,"Pokemon TCG: Scarlet & Violet Paradox Rift ETB - Iron Valiant",elite_trainer_box,sv04,false,5,49.99,59.99,unlikely,older_set,https://www.target.com/p/-/A-89603261
89603249,"Pokemon TCG: Scarlet & Violet Paradox Rift ETB - Roaring Moon",elite_trainer_box,sv04,false,5,49.99,59.99,unlikely,older_set,https://www.target.com/p/-/A-89603249
89315228,"Pokemon TCG: Scarlet & Violet Obsidian Flames Elite Trainer Box",elite_trainer_box,sv03,false,5,49.99,59.99,unlikely,older_set,https://www.target.com/p/-/A-89315228
88897899,"Pokemon TCG: Scarlet & Violet 151 Elite Trainer Box",elite_trainer_box,sv2a,false,5,49.99,59.99,unlikely,high_demand_resale_target,https://www.target.com/p/-/A-88897899
88404846,"Pokemon TCG: Scarlet & Violet Elite Trainer Box - Koraidon",elite_trainer_box,sv01,false,5,49.99,59.99,unlikely,older_set,https://www.target.com/p/-/A-88404846
88404840,"Pokemon TCG: Scarlet & Violet Elite Trainer Box - Miraidon",elite_trainer_box,sv01,false,5,49.99,59.99,unlikely,older_set,https://www.target.com/p/-/A-88404840
93803439,"Pokemon TCG: Scarlet & Violet Journey Together Elite Trainer Box",elite_trainer_box,sv09,false,5,49.99,59.99,yes,,https://www.target.com/p/-/A-93803439
1002893298,"Pokemon TCG: Journey Together Elite Trainer Box (2-Pack)",elite_trainer_box,sv09,false,5,99.99,119.99,unlikely,2pack_likely_3p,https://www.target.com/p/-/A-1002893298
94636862,"Pokemon TCG: Scarlet & Violet Black Bolt Elite Trainer Box",elite_trainer_box,sv10.5,false,5,49.99,59.99,yes,,https://www.target.com/p/-/A-94636862
94636860,"Pokemon TCG: Scarlet & Violet White Flare Elite Trainer Box",elite_trainer_box,sv10.5,false,5,49.99,59.99,yes,,https://www.target.com/p/-/A-94636860
1004842206,"Pokemon TCG: SV10.5 White Flare Elite Trainer Box (2-Pack)",elite_trainer_box,sv10.5,false,5,99.99,119.99,unlikely,2pack_likely_3p,https://www.target.com/p/-/A-1004842206
1004842208,"Pokemon TCG: SV10.5 Black Bolt Elite Trainer Box (2-Pack)",elite_trainer_box,sv10.5,false,5,99.99,119.99,unlikely,2pack_likely_3p,https://www.target.com/p/-/A-1004842208
1005708088,"Pokemon TCG: SV10.5 Black Bolt Pokemon Center ETB - 11 Packs",elite_trainer_box,sv10.5,false,5,59.99,69.99,yes,,https://www.target.com/p/-/A-1005708088
95120834,"Pokemon TCG: Mega Evolution Ascended Heroes Booster Bundle",booster_bundle,me02,false,5,26.99,32.99,yes,,https://www.target.com/p/-/A-95120834
95230447,"Pokemon TCG: Mega Evolution Perfect Order Booster Bundle",booster_bundle,me03,false,5,26.99,32.99,yes,,https://www.target.com/p/-/A-95230447
95298172,"Pokemon TCG: Mega Evolution Chaos Rising Booster Bundle",booster_bundle,me05,false,5,26.99,32.99,yes,upcoming_release,https://www.target.com/p/-/A-95298172
94681782,"Pokemon TCG: Mega Evolution Booster Bundle",booster_bundle,me01,false,5,26.99,32.99,yes,,https://www.target.com/p/-/A-94681782
94884496,"Pokemon TCG: Mega Evolution Phantasmal Flames Booster Bundle",booster_bundle,me04,false,5,26.99,32.99,yes,upcoming_release,https://www.target.com/p/-/A-94884496
94681770,"Pokemon TCG: Scarlet & Violet Black Bolt Booster Bundle",booster_bundle,sv10.5,false,5,26.99,32.99,yes,,https://www.target.com/p/-/A-94681770
94681785,"Pokemon TCG: Scarlet & Violet White Flare Booster Bundle",booster_bundle,sv10.5,false,5,26.99,32.99,yes,,https://www.target.com/p/-/A-94681785
94300067,"Pokemon TCG: Scarlet & Violet Destined Rivals Booster Bundle",booster_bundle,sv10,false,5,26.99,32.99,yes,,https://www.target.com/p/-/A-94300067
94300074,"Pokemon TCG: Scarlet & Violet Journey Together Booster Bundle",booster_bundle,sv09,false,5,26.99,32.99,yes,,https://www.target.com/p/-/A-94300074
1002893304,"Pokemon TCG: Journey Together Booster Bundle (2-Pack)",booster_bundle,sv09,false,5,53.99,64.99,unlikely,2pack_likely_3p,https://www.target.com/p/-/A-1002893304
91619929,"Pokemon TCG: Scarlet & Violet Surging Sparks Booster Bundle",booster_bundle,sv08,false,5,26.99,32.99,yes,,https://www.target.com/p/-/A-91619929
1003111590,"Pokemon TCG: Surging Sparks 7-Pack Booster Bundle",booster_bundle,sv08,false,5,31.99,38.99,unknown,,https://www.target.com/p/-/A-1003111590
91619942,"Pokemon TCG: Scarlet & Violet Stellar Crown Booster Bundle",booster_bundle,sv07,false,5,26.99,32.99,yes,,https://www.target.com/p/-/A-91619942
91619954,"Pokemon TCG: Scarlet & Violet Twilight Masquerade Booster Bundle",booster_bundle,sv06,false,5,26.99,32.99,unlikely,older_set,https://www.target.com/p/-/A-91619954
92436710,"Pokemon TCG: Scarlet & Violet Shrouded Fable Booster Bundle",booster_bundle,sv6.5,false,5,26.99,32.99,unlikely,older_set,https://www.target.com/p/-/A-92436710
94175448,"Pokemon TCG: Shrouded Fable Booster Bundle (2-Pack)",booster_bundle,sv6.5,false,5,53.99,64.99,unlikely,2pack_likely_3p,https://www.target.com/p/-/A-94175448
89952655,"Pokemon TCG: Scarlet & Violet Temporal Forces Booster Bundle",booster_bundle,sv05,false,5,26.99,32.99,unlikely,older_set,https://www.target.com/p/-/A-89952655
89432669,"Pokemon TCG: Scarlet & Violet Paradox Rift Booster Bundle",booster_bundle,sv04,false,5,26.99,32.99,unlikely,older_set,https://www.target.com/p/-/A-89432669
89419079,"Pokemon TCG: Scarlet & Violet Obsidian Flames Booster Bundle",booster_bundle,sv03,false,5,26.99,32.99,unlikely,older_set,https://www.target.com/p/-/A-89419079
89432660,"Pokemon TCG: Scarlet & Violet Paldean Fates Booster Bundle",booster_bundle,sv4.5,false,5,26.99,32.99,unlikely,older_set,https://www.target.com/p/-/A-89432660
88164376,"Pokemon TCG: Scarlet & Violet Paldea Evolved Booster Bundle",booster_bundle,sv02,false,5,26.99,32.99,unlikely,older_set,https://www.target.com/p/-/A-88164376
88275197,"Pokemon TCG: Scarlet & Violet Booster Bundle",booster_bundle,sv01,false,5,26.99,32.99,unlikely,older_set,https://www.target.com/p/-/A-88275197
90512011,"Pokemon TCG: Scarlet & Violet 3 Booster Pack Bundle",booster_bundle,sv01,false,5,14.99,17.99,unknown,,https://www.target.com/p/-/A-90512011
90670870,"Pokemon TCG: Paldea Evolved 3-Pack Bundle",booster_bundle,sv02,false,5,14.99,17.99,unknown,,https://www.target.com/p/-/A-90670870
94091405,"Pokemon TCG: Crown Zenith Booster Bundle Box",booster_bundle,swsh12.5,false,5,26.99,32.99,unlikely,retired_set,https://www.target.com/p/-/A-94091405
91128265,"Pokemon TCG: Trick or Trade BOOster Bundle 2024",booster_bundle,promotional,false,5,29.99,35.99,yes,seasonal_halloween,https://www.target.com/p/-/A-91128265
1002957621,"Pokemon TCG: Journey Together Enhanced Booster Display Box (36 Packs)",booster_display_box,sv09,false,7,179.99,199.99,unlikely,display_box_usually_3p,https://www.target.com/p/-/A-1002957621
1006274804,"Pokemon TCG: Mega Evolution Enhanced Booster Display Box (36 Packs)",booster_display_box,me01,false,7,179.99,199.99,unlikely,display_box_usually_3p,https://www.target.com/p/-/A-1006274804
1002957625,"Pokemon TCG: Journey Together Booster Build & Battle Box",booster_display_box,sv09,false,5,29.99,35.99,unknown,,https://www.target.com/p/-/A-1002957625
93566842,"Pokemon TCG: Scarlet & Violet Booster Box + 2 Elite Trainer Box Bundle",booster_display_box,sv01,false,7,229.99,259.99,unlikely,bundle_likely_3p,https://www.target.com/p/-/A-93566842
1004021935,"Pokemon TCG: SV10 Destined Rivals Booster Display (2-Pack)",booster_display_box,sv10,false,7,359.99,419.99,unlikely,2pack_likely_3p,https://www.target.com/p/-/A-1004021935
92698334,"Pokemon TCG: Stellar Crown Booster Display",booster_display_box,sv07,false,7,179.99,199.99,unlikely,display_box_usually_3p,https://www.target.com/p/-/A-92698334
91619955,"Pokemon TCG: Twilight Masquerade Booster Display",booster_display_box,sv06,false,7,179.99,199.99,unlikely,display_box_usually_3p,https://www.target.com/p/-/A-91619955
89825398,"Pokemon TCG: Paradox Rift Booster Display",booster_display_box,sv04,false,7,179.99,199.99,unlikely,display_box_usually_3p,https://www.target.com/p/-/A-89825398
1000167282,"Pokemon TCG: Surging Sparks Booster Display (2-Pack)",booster_display_box,sv08,false,7,359.99,419.99,unlikely,2pack_likely_3p,https://www.target.com/p/-/A-1000167282
88909617,"Pokemon TCG: Scarlet & Violet 36ct Booster Display Box",booster_display_box,sv01,false,7,179.99,199.99,unlikely,display_box_usually_3p,https://www.target.com/p/-/A-88909617
1001558954,"Pokemon TCG: Paldea Evolved Build & Battle Box (Prerelease)",booster_display_box,sv02,false,5,29.99,35.99,unlikely,prerelease_kit,https://www.target.com/p/-/A-1001558954
94681790,"Pokemon TCG: Charizard X ex Ultra-Premium Collection",premium_collection,me01,false,8,149.99,169.99,yes,high_demand_resale_target,https://www.target.com/p/-/A-94681790
1010867088,"Pokemon TCG: Mega Charizard X ex Ultra-Premium Collection",premium_collection,me02,false,8,149.99,169.99,yes,high_demand_resale_target,https://www.target.com/p/-/A-1010867088
93504915,"Pokemon TCG: Sword & Shield Ultra-Premium Collection Charizard",premium_collection,swsh,false,8,149.99,169.99,unlikely,retired_set,https://www.target.com/p/-/A-93504915
1007482805,"Pokemon TCG: Team Rocket's Moltres ex Ultra-Premium Collection",premium_collection,sv10,false,8,149.99,169.99,yes,,https://www.target.com/p/-/A-1007482805
91670545,"Pokemon TCG: Terapagos ex Ultra-Premium Collection",premium_collection,sv07,false,8,119.99,139.99,unlikely,older_release,https://www.target.com/p/-/A-91670545
88897906,"Pokemon TCG: Scarlet & Violet 151 Ultra-Premium Collection",premium_collection,sv2a,false,8,149.99,169.99,unlikely,high_demand_resale_target,https://www.target.com/p/-/A-88897906
94300072,"Pokemon TCG: Prismatic Evolutions Super-Premium Collection",premium_collection,sv8.5,false,8,79.99,94.99,yes,high_demand_resale_target,https://www.target.com/p/-/A-94300072
91670547,"Pokemon TCG: Charizard ex Super-Premium Collection",premium_collection,sv,false,8,79.99,94.99,unknown,,https://www.target.com/p/-/A-91670547
1005879863,"Pokemon TCG: Prismatic Evolutions Lucario ex & Tyranitar ex Premium Collection",premium_collection,sv8.5,false,7,39.99,49.99,yes,,https://www.target.com/p/-/A-1005879863
89131804,"Pokemon TCG: Evolving Powers Premium Collection",premium_collection,sv,false,5,39.99,49.99,unknown,,https://www.target.com/p/-/A-89131804
95280894,"Pokemon TCG: Mega Zygarde ex Premium Collection",premium_collection,me01,false,5,39.99,49.99,yes,,https://www.target.com/p/-/A-95280894
91670546,"Pokemon TCG: Tera Team Premium Collection",premium_collection,sv07,false,5,39.99,49.99,unknown,,https://www.target.com/p/-/A-91670546
94724987,"Pokemon TCG: Blooming Waters Premium Collection",premium_collection,sv,false,5,39.99,49.99,yes,,https://www.target.com/p/-/A-94724987
88897908,"Pokemon TCG: Charizard ex Premium Collection",premium_collection,sv,false,5,39.99,49.99,unknown,,https://www.target.com/p/-/A-88897908
94411681,"Pokemon TCG: Team Rocket's Mewtwo ex Box",premium_collection,sv10,false,5,29.99,35.99,yes,,https://www.target.com/p/-/A-94411681
1003093286,"Pokemon TCG: Lillie Premium Tournament Collection",premium_collection,swsh,false,5,49.99,59.99,unlikely,,https://www.target.com/p/-/A-1003093286
94411712,"Pokemon TCG: Cynthia's Garchomp ex Premium Collection",premium_collection,sv,false,5,39.99,49.99,unknown,,https://www.target.com/p/-/A-94411712
95000353,"Pokemon TCG: Mega Lucario ex Figure Collection",premium_collection,me01,false,5,34.99,42.99,yes,,https://www.target.com/p/-/A-95000353
1001559951,"Pokemon TCG: Paldean Fates ex Premium Collection - Shiny Quaxly",premium_collection,sv4.5,false,5,39.99,49.99,unlikely,older_set,https://www.target.com/p/-/A-1001559951
92276082,"Pokemon TCG: Shrouded Fable Greninja ex Special Illustration Collection",premium_collection,sv6.5,false,5,34.99,42.99,unlikely,older_set,https://www.target.com/p/-/A-92276082
92276066,"Pokemon TCG: Shrouded Fable Kingdra ex Special Illustration Collection",premium_collection,sv6.5,false,5,34.99,42.99,unlikely,older_set,https://www.target.com/p/-/A-92276066
1001560020,"Pokemon TCG: Shrouded Fable Greninja ex Special Illustration (variant)",premium_collection,sv6.5,false,5,34.99,42.99,unknown,duplicate_listing,https://www.target.com/p/-/A-1001560020
88063479,"Pokemon TCG: Crown Zenith Collection - Regidrago V",premium_collection,swsh12.5,false,5,29.99,35.99,unlikely,retired_set,https://www.target.com/p/-/A-88063479
88063465,"Pokemon TCG: Crown Zenith Collection - Regieleki V",premium_collection,swsh12.5,false,5,29.99,35.99,unlikely,retired_set,https://www.target.com/p/-/A-88063465
89444928,"Pokemon TCG: Scarlet & Violet 151 Poster Collection",premium_collection,sv2a,false,5,24.99,29.99,unlikely,older_set,https://www.target.com/p/-/A-89444928
89444929,"Pokemon TCG: Scarlet & Violet 151 Binder Collection",premium_collection,sv2a,false,5,29.99,35.99,unlikely,older_set,https://www.target.com/p/-/A-89444929
94300066,"Pokemon TCG: Prismatic Evolutions Binder Collection",premium_collection,sv8.5,false,5,29.99,35.99,yes,,https://www.target.com/p/-/A-94300066
94636856,"Pokemon TCG: Scarlet & Violet Black Bolt Binder Collection",premium_collection,sv10.5,false,5,29.99,35.99,yes,,https://www.target.com/p/-/A-94636856
95093982,"Pokemon TCG: Mega Evolution Ascended Heroes Premium Poster - Mega Gardevoir",premium_collection,me02,false,5,24.99,29.99,yes,,https://www.target.com/p/-/A-95093982
95093981,"Pokemon TCG: Mega Evolution Ascended Heroes Premium Poster - Mega Lucario",premium_collection,me02,false,5,24.99,29.99,yes,,https://www.target.com/p/-/A-95093981
1010583463,"Pokemon TCG: Mega Evolution Ascended Heroes Poster - Mega Gardevoir (variant)",premium_collection,me02,false,5,24.99,29.99,unknown,duplicate_listing,https://www.target.com/p/-/A-1010583463
1010583462,"Pokemon TCG: Mega Evolution Ascended Heroes Poster - Mega Lucario (variant)",premium_collection,me02,false,5,24.99,29.99,unknown,duplicate_listing,https://www.target.com/p/-/A-1010583462
1010914571,"Pokemon TCG: Mega Evolution Ascended Heroes Collection 2-Pack",premium_collection,me02,false,5,49.99,59.99,unknown,,https://www.target.com/p/-/A-1010914571
1010915931,"Pokemon TCG: Mega Evolution Ascended Heroes Collection 4-Pack",premium_collection,me02,false,5,99.99,119.99,unknown,,https://www.target.com/p/-/A-1010915931
1010967083,"Pokemon TCG: Triple Whammy Tin - Tyranitar",tin,sv,false,5,24.99,29.99,yes,,https://www.target.com/p/-/A-1010967083
1010967082,"Pokemon TCG: Triple Whammy Tin - Darkrai",tin,sv,false,5,24.99,29.99,yes,,https://www.target.com/p/-/A-1010967082
1009004713,"Pokemon TCG: Mega Charizard X Tin (4 Packs, Promo)",tin,me01,false,5,24.99,29.99,yes,,https://www.target.com/p/-/A-1009004713
1009004716,"Pokemon TCG: Mega Charizard Y Tin (4 Packs, Promo)",tin,me01,false,5,24.99,29.99,yes,,https://www.target.com/p/-/A-1009004716
95138474,"Pokemon TCG: Mega Charizard Y Tin",tin,me01,false,5,19.99,23.99,yes,,https://www.target.com/p/-/A-95138474
95138464,"Pokemon TCG: Mega Charizard X Tin",tin,me01,false,5,19.99,23.99,yes,,https://www.target.com/p/-/A-95138464
1007047843,"Pokemon TCG: Team Rocket Tin - Persian ex",tin,sv10,false,5,24.99,29.99,yes,,https://www.target.com/p/-/A-1007047843
1007047841,"Pokemon TCG: Team Rocket Tin - Nidoking ex",tin,sv10,false,5,24.99,29.99,yes,,https://www.target.com/p/-/A-1007047841
1007047842,"Pokemon TCG: Team Rocket Tin - Mewtwo ex",tin,sv10,false,5,24.99,29.99,yes,,https://www.target.com/p/-/A-1007047842
94687407,"Pokemon TCG: Team Rocket Tin - Nidoking",tin,sv10,false,5,19.99,23.99,unknown,,https://www.target.com/p/-/A-94687407
94687408,"Pokemon TCG: Team Rocket Tin - Mewtwo",tin,sv10,false,5,19.99,23.99,unknown,,https://www.target.com/p/-/A-94687408
1005289526,"Pokemon TCG: Ultra Ball Tin - 3 Packs",tin,sv,false,5,19.99,23.99,yes,,https://www.target.com/p/-/A-1005289526
1005630467,"Pokemon TCG: Pokemon GO Tin - Blissey",tin,swsh,false,5,19.99,23.99,unlikely,retired_set,https://www.target.com/p/-/A-1005630467
1001559414,"Pokemon TCG: Paldean Fates Tin - Shiny Charizard",tin,sv4.5,false,5,24.99,29.99,unlikely,older_set,https://www.target.com/p/-/A-1001559414
90593713,"Pokemon TCG: Paldean Fates Tin - Shiny Charizard ex",tin,sv4.5,false,5,24.99,29.99,unlikely,older_set,https://www.target.com/p/-/A-90593713
1001095460,"Pokemon TCG: Sinnoh Stars Mini Tin - Turtwig & Luxray",tin,sv,false,5,7.99,9.99,yes,,https://www.target.com/p/-/A-1001095460
1001095456,"Pokemon TCG: Sinnoh Stars Mini Tin - Chimchar & Pachirisu",tin,sv,false,5,7.99,9.99,yes,,https://www.target.com/p/-/A-1001095456
1001095457,"Pokemon TCG: Sinnoh Stars Mini Tin - Munchlax & Drifloon",tin,sv,false,5,7.99,9.99,yes,,https://www.target.com/p/-/A-1001095457
1001095459,"Pokemon TCG: Sinnoh Stars Mini Tin - Riolu & Bidoof",tin,sv,false,5,7.99,9.99,yes,,https://www.target.com/p/-/A-1001095459
1001134942,"Pokemon TCG: Sinnoh Stars Mini Tin - Piplup & Mime Jr.",tin,sv,false,5,7.99,9.99,yes,,https://www.target.com/p/-/A-1001134942
1006188643,"Pokemon TCG: Mega Heroes Mini Tin - Mega Lucario",tin,me01,false,5,7.99,9.99,yes,,https://www.target.com/p/-/A-1006188643
1006188639,"Pokemon TCG: Mega Heroes Mini Tin - Mega Gardevoir",tin,me01,false,5,7.99,9.99,yes,,https://www.target.com/p/-/A-1006188639
1006188640,"Pokemon TCG: Mega Heroes Mini Tin - Mega Kangaskhan",tin,me01,false,5,7.99,9.99,yes,,https://www.target.com/p/-/A-1006188640
1010079625,"Pokemon TCG: Mega Evolution Ascended Heroes Mini Tin Display (10 Units)",tin,me02,false,5,79.99,94.99,unknown,bulk_likely_3p,https://www.target.com/p/-/A-1010079625
91121943,"Pokemon TCG: Heroes Tin - Sylveon",tin,swsh,false,5,19.99,23.99,unlikely,older_set,https://www.target.com/p/-/A-91121943
88949021,"Pokemon TCG: Flareon Sylveon Tin Bundle",tin,swsh,false,5,39.99,47.99,unknown,,https://www.target.com/p/-/A-88949021
1009339103,"Pokemon TCG: Ho-Oh Legendary Battle Deck",battle_deck,sv,false,3,14.99,17.99,yes,,https://www.target.com/p/-/A-1009339103
94411699,"Pokemon TCG: Rival Battle Deck - Steven",battle_deck,sv,false,3,14.99,17.99,yes,,https://www.target.com/p/-/A-94411699
1001561940,"Pokemon TCG: V Battle Deck - Rayquaza",battle_deck,swsh,false,3,14.99,17.99,unlikely,older_set,https://www.target.com/p/-/A-1001561940
1010457001,"Pokemon TCG: Mega Lucario ex League Battle Deck",battle_deck,me01,false,3,29.99,35.99,yes,,https://www.target.com/p/-/A-1010457001
1001559185,"Pokemon TCG: Battle Decks - Kangaskhan ex",battle_deck,sv,false,3,14.99,17.99,unknown,,https://www.target.com/p/-/A-1001559185
1007936075,"Pokemon TCG: Team Rocket's Mewtwo ex League Battle Deck (60 Cards)",battle_deck,sv10,false,3,29.99,35.99,yes,,https://www.target.com/p/-/A-1007936075
1006512287,"Pokemon TCG: Destined Rivals 3-Pack Blister - Kangaskhan",blister_3pack,sv10,false,3,14.99,17.99,yes,,https://www.target.com/p/-/A-1006512287
1006512288,"Pokemon TCG: Destined Rivals 3-Pack Blister - Zebstrika",blister_3pack,sv10,false,3,14.99,17.99,yes,,https://www.target.com/p/-/A-1006512288
94300082,"Pokemon TCG: Destined Rivals Three-Booster Blister - Kangaskhan",blister_3pack,sv10,false,3,14.99,17.99,unknown,duplicate_listing,https://www.target.com/p/-/A-94300082
1006274802,"Pokemon TCG: Mega Evolution Three-Booster Blister - Golduck",blister_3pack,me01,false,3,14.99,17.99,yes,,https://www.target.com/p/-/A-1006274802
91619948,"Pokemon TCG: Stellar Crown Three-Booster Blister - Tinkaton",blister_3pack,sv07,false,3,14.99,17.99,yes,,https://www.target.com/p/-/A-91619948
91619956,"Pokemon TCG: Stellar Crown Three-Booster Blister - Latias",blister_3pack,sv07,false,3,14.99,17.99,yes,,https://www.target.com/p/-/A-91619956
1003404434,"Pokemon TCG: Stellar Crown Checklane Blister - Porygon2",blister_3pack,sv07,false,3,5.99,7.99,yes,checklane_smaller,https://www.target.com/p/-/A-1003404434
1003404367,"Pokemon TCG: Stellar Crown Checklane Blister - Horsea",blister_3pack,sv07,false,3,5.99,7.99,yes,checklane_smaller,https://www.target.com/p/-/A-1003404367
1002487546,"Pokemon TCG: Surging Sparks 3-Pack Blister - Zapdos",blister_3pack,sv08,false,3,14.99,17.99,yes,,https://www.target.com/p/-/A-1002487546
91619950,"Pokemon TCG: Shrouded Fable 3-Pack Blister",blister_3pack,sv6.5,false,3,14.99,17.99,unlikely,older_set,https://www.target.com/p/-/A-91619950
1001560405,"Pokemon TCG: SV6 Twilight Masquerade 3-Pack Blister - Snorlax",blister_3pack,sv06,false,3,14.99,17.99,unlikely,older_set,https://www.target.com/p/-/A-1001560405
1001559585,"Pokemon TCG: SV6 Twilight Masquerade 3-Pack Blister - Revavroom",blister_3pack,sv06,false,3,14.99,17.99,unlikely,older_set,https://www.target.com/p/-/A-1001559585
1001358221,"Pokemon TCG: Paradox Rift 3-Pack Blister - Cetitan",blister_3pack,sv04,false,3,14.99,17.99,unlikely,older_set,https://www.target.com/p/-/A-1001358221
1003081972,"Pokemon TCG: Paradox Rift Cetitan Promo 3-Pack",blister_3pack,sv04,false,3,14.99,17.99,unlikely,older_set,https://www.target.com/p/-/A-1003081972
1003081977,"Pokemon TCG: Paradox Rift Arctibax Promo 3-Pack",blister_3pack,sv04,false,3,14.99,17.99,unlikely,older_set,https://www.target.com/p/-/A-1003081977
1002928589,"Pokemon TCG: Temporal Forces 3-Pack Blister - Cleffa",blister_3pack,sv05,false,3,14.99,17.99,unlikely,older_set,https://www.target.com/p/-/A-1002928589
89445584,"Pokemon TCG: Obsidian Flames Three-Booster Blister - Eevee",blister_3pack,sv03,false,3,14.99,17.99,unlikely,older_set,https://www.target.com/p/-/A-89445584
88825257,"Pokemon TCG: Scarlet & Violet 3-Pack Blister - Dondozo",blister_3pack,sv01,false,3,14.99,17.99,unlikely,older_set,https://www.target.com/p/-/A-88825257
